subject_id,n_samples,n_classes,C1_acc_mean,C1_acc_std,C1_chance_mean,C1_n_channels,C1_n_timepoints,EPN_acc_mean,EPN_acc_std,EPN_chance_mean,EPN_n_channels,EPN_n_timepoints,LPC_acc_mean,LPC_acc_std,LPC_chance_mean,LPC_n_channels,LPC_n_timepoints,N1_acc_mean,N1_acc_std,N1_chance_mean,N1_n_channels,N1_n_timepoints,N170_acc_mean,N170_acc_std,N170_chance_mean,N170_n_channels,N170_n_timepoints,N2_acc_mean,N2_acc_std,N2_chance_mean,N2_n_channels,N2_n_timepoints,N400_acc_mean,N400_acc_std,N400_chance_mean,N400_n_channels,N400_n_timepoints,P1_acc_mean,P1_acc_std,P1_chance_mean,P1_n_channels,P1_n_timepoints,P2_acc_mean,P2_acc_std,P2_chance_mean,P2_n_channels,P2_n_timepoints,P3b_acc_mean,P3b_acc_std,P3b_chance_mean,P3b_n_channels,P3b_n_timepoints
1,4280,5,0.325,0.00814077167765623,0.26401869158878505,3,16,0.3941588785046729,0.018197320073477345,0.26401869158878505,4,26,0.29719626168224295,0.004707813476544366,0.26401869158878505,4,101,0.4128504672897197,0.011672893454950274,0.26401869158878505,5,26,0.36635514018691595,0.006208098250274027,0.26401869158878505,6,23,0.32453271028037384,0.009644751140444052,0.26401869158878505,7,38,0.3320093457943925,0.008939778724163074,0.26401869158878505,7,51,0.39135514018691586,0.015725531467723215,0.26401869158878505,6,18,0.33457943925233646,0.005655943194817857,0.26401869158878505,7,25,0.3754672897196262,0.007556524125605717,0.26401869158878505,7,76
2,4280,5,0.30841121495327106,0.013360727528500751,0.26401869158878505,3,16,0.3703271028037384,0.007125210599054634,0.26401869158878505,4,26,0.2852803738317757,0.01793747450249461,0.26401869158878505,4,101,0.3717289719626168,0.013286978699170952,0.26401869158878505,5,26,0.3705607476635514,0.009587983424618302,0.26401869158878505,6,23,0.3238317757009346,0.009868557047636855,0.26401869158878505,7,38,0.3009345794392523,0.0037383177570093503,0.26401869158878505,7,51,0.361214953271028,0.010433230636339294,0.26401869158878505,6,18,0.2864485981308411,0.009813084112149536,0.26401869158878505,7,25,0.33738317757009345,0.0073291528697935135,0.26401869158878505,7,76
3,4280,5,0.3441588785046729,0.02308950332444944,0.26401869158878505,3,16,0.397196261682243,0.010858831811796492,0.26401869158878505,4,26,0.3247663551401869,0.013175581476515602,0.26401869158878505,4,101,0.4369158878504673,0.009605048967801143,0.26401869158878505,5,26,0.4224299065420561,0.01208646463212857,0.26401869158878505,6,23,0.32663551401869156,0.013971884474510336,0.26401869158878505,7,38,0.30981308411214953,0.011574267361215737,0.26401869158878505,7,51,0.3981308411214953,0.01661016129642637,0.26401869158878505,6,18,0.33014018691588787,0.011531740821731837,0.26401869158878505,7,25,0.33761682242990654,0.018938209466504152,0.26401869158878505,7,76
4,4280,5,0.3170560747663551,0.01950059964006106,0.26401869158878505,3,16,0.4030373831775701,0.021629508058005842,0.26401869158878505,4,26,0.35420560747663554,0.016741106652030713,0.26401869158878505,4,101,0.39509345794392525,0.007291816137536096,0.26401869158878505,5,26,0.39369158878504673,0.01179848707752579,0.26401869158878505,6,23,0.34182242990654205,0.014414202631016062,0.26401869158878505,7,38,0.35654205607476636,0.016983908266716113,0.26401869158878505,7,51,0.35490654205607475,0.009151007489516895,0.26401869158878505,6,18,0.3214953271028037,0.012890760957134324,0.26401869158878505,7,25,0.4009345794392523,0.01874117255154717,0.26401869158878505,7,76
5,4280,5,0.3380841121495327,0.01495327102803738,0.26401869158878505,3,16,0.3876168224299065,0.017159779464465928,0.26401869158878505,4,26,0.3429906542056075,0.008443603270837697,0.26401869158878505,4,101,0.4063084112149532,0.014876408766104307,0.26401869158878505,5,26,0.38668224299065423,0.008616396689058774,0.26401869158878505,6,23,0.31191588785046725,0.0190531617176403,0.26401869158878505,7,38,0.3037383177570093,0.01505151720411814,0.26401869158878505,7,51,0.38481308411214954,0.00959367531198496,0.26401869158878505,6,18,0.3261682242990654,0.018058797999008988,0.26401869158878505,7,25,0.3343457943925234,0.01123926492598664,0.26401869158878505,7,76
